PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
0,https://estetiacrm.com.br/fundadores,,text/html; charset=utf-8,false,404,0,0,false,2,
0,https://estetiacrm.com.br/en/help/analytics/exportar-dados,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/analytics/exportar-dados
0,https://estetiacrm.com.br/en/features/marketing,,text/html; charset=utf-8,false,404,0,2,false,2,https://estetiacrm.com.br/en
0,https://estetiacrm.com.br/en/help/[category]/entendendo-pipeline-kanban,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/pipeline-negocios/entendendo-pipeline-kanban
0,https://estetiacrm.com.br/en/help/[category]/multiplos-pipelines,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/pipeline-negocios/multiplos-pipelines
0,https://estetiacrm.com.br/en/help/[category]/melhores-praticas-vendas,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/primeiros-passos/melhores-praticas-vendas
0,https://estetiacrm.com.br/en/help/integracoes/usando-api,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/integracoes/usando-api
0,https://estetiacrm.com.br/en/features/prontuario-digital,,text/html; charset=utf-8,false,404,0,3,false,1,https://estetiacrm.com.br/features/prontuario-digital
0,https://estetiacrm.com.br/en/help/[category]/importar-contatos-csv,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/contatos/importar-contatos-csv
0,https://estetiacrm.com.br/en/help/[category]/usando-api,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/integracoes/usando-api
0,https://estetiacrm.com.br/en/features/ia,,text/html; charset=utf-8,false,404,0,2,false,2,https://estetiacrm.com.br/en
0,https://estetiacrm.com.br/en/help/integracoes/integracao-n8n,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/integracoes/integracao-n8n
0,https://estetiacrm.com.br/en/help/[category]/troubleshooting,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/primeiros-passos/troubleshooting
