Data,Cliques,Impressões,CTR,Posição
2026-05-18,0,0,,
2026-05-19,0,4,0%,38.8
2026-05-20,0,11,0%,13.8
2026-05-21,0,25,0%,7.1
2026-05-22,0,9,0%,14.3
2026-05-23,0,14,0%,42.4
2026-05-24,0,7,0%,39
2026-05-25,0,21,0%,19.6
2026-05-26,0,24,0%,17.4
2026-05-27,0,21,0%,18.5
2026-05-28,0,13,0%,35.2
2026-05-29,0,17,0%,23.7
2026-05-30,1,21,4.76%,13.5
2026-05-31,0,19,0%,14.9
2026-06-01,0,27,0%,17.4
