País,Cliques,Impressões,CTR,Posição
Brasil,1,133,0.75%,30.04
Estados Unidos,0,86,0%,6
Singapura,0,4,0%,5.25
Portugal,0,3,0%,4.67
China,0,2,0%,4
Canadá,0,2,0%,9
Espanha,0,1,0%,2
Países Baixos,0,1,0%,10
Bélgica,0,1,0%,11
